ID,Name,Parent.ID,Parent.Name,Total.Transactions,Payment.BTC,Payment.USD.equivalent,Commission.BTC,Commission.USD.equivalent
397,Ritalin,395,Methylphenidate,1580,2963.36,181522,242.57,13660
396,Concerta,395,Methylphenidate,67,37.37,4191,3.50,391
403,Valium,400,Diazepam,7806,14954.71,530292,1233.19,41897
402,Xanax,401,Alprazolam,12539,25283.54,1277981,1887.51,92417
562,Lidocaine,424,Anesthetic,11,4.37,577,.41,54
563,Benzocaine,424,Anesthetic,12,12.95,1700,1.16,153
451,Testosterone,443,Anabolic steroids,2708,8232.13,371201,616.48,28948
450,Methandrostenolone,443,Anabolic steroids,833,2315.83,96661,184.06,7505
448,Oxandrolone,443,Anabolic steroids,654,2203.70,127478,165.26,9629
447,Trenbolone,443,Anabolic steroids,403,1308.64,77360,97.99,5993
454,Stanozolol,443,Anabolic steroids,393,1257.51,53920,97.45,4120
446,Nandrolone,443,Anabolic steroids,320,1208.59,51443,89.44,3995
462,Turinabol,443,Anabolic steroids,172,675.04,29889,49.63,2268
444,Boldenone,443,Anabolic steroids,110,219.00,12563,16.83,1000
445,Oxymetholone,443,Anabolic steroids,123,478.54,19315,36.48,1478
457,Drostanolone,443,Anabolic steroids,92,97.39,11152,8.44,941
449,Mesterolone,443,Anabolic steroids,60,79.97,5511,6.93,462
461,Metenolone,443,Anabolic steroids,39,141.28,7760,10.09,575
459,Fluoxymesterone,443,Anabolic steroids,1,3.47,374,.24,24
119,4-AcO-DMT,490,4-AcO family,1145,3636.30,126507,256.32,8760
154,4-AcO-DET,490,4-AcO family,32,120.76,2031,9.81,154
258,4-AcO-MiPT,490,4-AcO family,3,14.38,1495,.50,53
557,4-AcO-Met,490,4-AcO family,0,.00,0,.00,0
212,5-MeO-MiPT,491,5-MeO family,683,1520.69,44310,131.79,3335
74,5-MeO-DMT,491,5-MeO family,452,1083.89,30950,85.82,2414
188,5-MeO-DiPT,491,5-MeO family,317,748.16,23133,66.21,1898
296,5-MeO-DALT,491,5-MeO family,89,89.11,3657,8.11,303
284,5-MeO-aMT,491,5-MeO family,34,53.01,1071,4.56,86
528,3C-P,527,3C family,17,15.62,1183,1.25,92
NA,NA,NA,NA,190803,2808694.01,22404093,172175.73,1264861
